STABR,LIBNAME,ADDRESS,CITY,ZIP,CNTY
NY,FRED AND HARRIET TAYLOR MEMORIAL LIBRARY,21 WILLIAM STREET,HAMMONDSPORT,14840,STEUBEN
NY,HORNELL PUBLIC LIBRARY,64 GENESEE STREET,HORNELL,14843,STEUBEN
NY,HOWARD PUBLIC LIBRARY,3607 COUNTY ROUTE 70A,HORNELL,14843,STEUBEN
NY,JASPER FREE LIBRARY,3807 LIBRARY STREET,JASPER,14855,STEUBEN
NY,PRATTSBURG FREE LIBRARY,26 MAIN STREET,PRATTSBURGH,14873,STEUBEN
NY,PULTENEY FREE LIBRARY,9226 CTY RT 74,PULTENEY,14874,STEUBEN
NY,SAVONA FREE LIBRARY,15 MCCOY STREET,SAVONA,14879,STEUBEN
NY,WAYLAND FREE LIBRARY,101 WEST NAPLES STREET,WAYLAND,14572,STEUBEN
NY,MODESTE BEDIENT MEMORIAL LIBRARY,3699 ROUTE 54A,BRANCHPORT,14418,YATES
NY,DUNDEE LIBRARY,32 WATER STREET,DUNDEE,14837,YATES
NY,PENN YAN PUBLIC LIBRARY,214 MAIN STREET,PENN YAN,14527,YATES
NY,CHAMPLAIN MEMORIAL LIBRARY,148 ELM STREET,CHAMPLAIN,12919,CLINTON
NY,CHAZY PUBLIC LIBRARY,1329 FISKE ROAD,CHAZY,12921,CLINTON
NY,DANNEMORA FREE LIBRARY,40 EMMONS STREET,DANNEMORA,12929,CLINTON
NY,MOOERS FREE LIBRARY,"2430 ROUTE 11, MAIN STREET",MOOERS,12958,CLINTON
NY,PERU FREE LIBRARY,3024 ROUTE 22,PERU,12972,CLINTON
NY,PLATTSBURGH PUBLIC LIBRARY,19 OAK STREET,PLATTSBURGH,12901,CLINTON
NY,ROUSES POINT DODGE MEMORIAL LIBRARY,144 LAKE STREET,ROUSES POINT,12979,CLINTON
NY,DODGE LIBRARY,9 FISKE ROAD,WEST CHAZY,12992,CLINTON
NY,AUSABLE FORKS FREE LIBRARY,9 CHURCH LANE,AUSABLE FORKS,12912,ESSEX
NY,"HAMMOND LIBRARY OF CROWN POINT, N. Y.",2732 MAIN STREET,CROWN POINT,12928,ESSEX
NY,ELIZABETHTOWN LIBRARY ASSOCIATION,8256 RIVER STREET,ELIZABETHTOWN,12932,ESSEX
NY,BELDEN NOBLE MEMORIAL LIBRARY OF ESSEX,2759 ESSEX RD.,ESSEX,12936,ESSEX
NY,KEENE PUBLIC LIBRARY,10928 NYS ROUTE 9N,KEENE,12942,ESSEX
NY,KEENE VALLEY LIBRARY ASSOCIATION,1796 MAIN STREET,KEENE VALLEY,12943,ESSEX
NY,KEESEVILLE FREE LIBRARY,1721 FRONT STREET,KEESEVILLE,12944,ESSEX
NY,LAKE PLACID PUBLIC LIBRARY,2471 MAIN STREET,LAKE PLACID,12946,ESSEX
NY,SHERMAN FREE LIBRARY,20 CHURCH STREET,PORT HENRY,12974,ESSEX
NY,SCHROON LAKE PUBLIC LIBRARY,15 LELAND AVENUE,SCHROON LAKE,12870,ESSEX
NY,TICONDEROGA BLACK WATCH MEMORIAL LIBRARY,99 MONTCALM STREET,TICONDEROGA,12883,ESSEX
NY,WELLS MEMORIAL LIBRARY,12230 NYS RTE 9N,UPPER JAY,12987,ESSEX
NY,WADHAMS FREE LIBRARY,763 NYS ROUTE 22,WADHAMS,12993,ESSEX
NY,WESTPORT LIBRARY ASSOCIATION,6 HARRIS LANE,WESTPORT,12993,ESSEX
NY,PAINE MEMORIAL LIBRARY,2 GILLILAND LANE,WILLSBORO,12996,ESSEX
NY,WILMINGTON E.M. COOPER MEMORIAL P L,5751 ROUTE 86,WILMINGTON,12997,ESSEX
NY,CHATEAUGAY MEMORIAL LIBRARY,4 JOHN STREET,CHATEAUGAY,12920,FRANKLIN
NY,"AKWESASNE CULTURAL CENTER, INC.",321 STATE ROUTE 37,HOGANSBURG,13655,FRANKLIN
NY,THE WEAD LIBRARY,64 ELM STREET,MALONE,12953,FRANKLIN
NY,SARANAC LAKE FREE LIBRARY,109 MAIN STREET,SARANAC LAKE,12983,FRANKLIN
NY,TUPPER LAKE PUBLIC LIBRARY,41 LAKE STREET,TUPPER LAKE,12986,FRANKLIN
NY,SEYMOUR PUBLIC LIBRARY DISTRICT,176-178 GENESEE STREET,AUBURN,13021,CAYUGA
NY,AURORA FREE LIBRARY,370 MAIN STREET,AURORA,13026,CAYUGA
NY,STEWART B. LANG MEMORIAL LIBRARY,2577 EAST MAIN STREET,CATO,13033,CAYUGA
NY,VILLAGE OF FAIR HAVEN PUBLIC LIBRARY,14426 SOUTH RICHMOND AVENUE,FAIR HAVEN,13064,CAYUGA
NY,POWERS LIBRARY ASSOCIATION,29 CHURCH STREET,MORAVIA,13118,CAYUGA
NY,HAZARD LIBRARY ASSOCIATION,2487 ROUTE 34B,POPLAR RIDGE,13139,CAYUGA
NY,SPRINGPORT FREE LIBRARY,171 CAYUGA STREET,UNION SPRINGS,13160,CAYUGA
NY,WEEDSPORT FREE LIBRARY,2795 EAST BRUTUS STREET,WEEDSPORT,13166,CAYUGA
NY,KELLOGG FREE LIBRARY,5681 TELEPHONE ROAD EXTENSION,CINCINNATUS,13040,CORTLAND
NY,CORTLAND FREE LIBRARY,32 CHURCH STREET,CORTLAND,13045,CORTLAND
NY,PHILLIPS FREE LIBRARY,37 SOUTH MAIN STREET,HOMER,13077,CORTLAND
NY,LAMONT MEMORIAL FREE LIBRARY,5 MAIN STREET,MCGRAW,13101,CORTLAND
NY,PECK MEMORIAL LIBRARY,24 MAIN STREET,MARATHON,13803,CORTLAND
NY,INTERLAKEN PUBLIC LIBRARY,8390 MAIN STREET,INTERLAKEN,14847,SENECA
NY,LODI WHITTIER LIBRARY,2155 EAST SENECA STREET,LODI,14860,SENECA
NY,EDITH B. FORD MEMORIAL LIBRARY,7169 NORTH MAIN STREET,OVID,14521,SENECA
NY,SENECA FALLS LIBRARY,47 CAYUGA STREET,SENECA FALLS,13148,SENECA
NY,WATERLOO LIBRARY AND HISTORICAL SOCIETY,31 EAST WILLIAMS STREET,WATERLOO,13165,SENECA
NY,BERKSHIRE FREE LIBRARY,12519 STATE ROUTE 38,BERKSHIRE,13736,TIOGA
NY,CANDOR FREE LIBRARY,2 BANK STREET,CANDOR,13743,TIOGA
NY,TAPPAN-SPAULDING MEMORIAL LIBRARY,6 ROCK STREET,NEWARK VALLEY,13811,TIOGA
NY,GEORGE P. & SUSAN PLATT CADY LIBRARY,42 RIVER STREET,NICHOLS,13812,TIOGA
NY,COBURN FREE LIBRARY,275 MAIN STREET,OWEGO,13827,TIOGA
NY,SPENCER LIBRARY,41 NORTH MAIN STREET,SPENCER,14883,TIOGA
NY,WAVERLY FREE LIBRARY,18 ELIZABETH STREET,WAVERLY,14892,TIOGA
NY,GROTON PUBLIC LIBRARY,112 EAST CORTLAND STREET,GROTON,13073,TOMPKINS
NY,TOMPKINS COUNTY PUBLIC LIBRARY,101 EAST GREEN STREET,ITHACA,14850,TOMPKINS
NY,NEWFIELD PUBLIC LIBRARY,198 MAIN STREET,NEWFIELD,14867,TOMPKINS
NY,ULYSSES PHILOMATHIC LIBRARY,74 EAST MAIN STREET,TRUMANSBURG,14886,TOMPKINS
NY,BROOME COUNTY PUBLIC LIBRARY,185 COURT STREET,BINGHAMTON,13901,BROOME
NY,DEPOSIT FREE LIBRARY,159 FRONT STREET,DEPOSIT,13754,BROOME
NY,GEORGE F. JOHNSON MEMORIAL LIBRARY,1001 PARK STREET,ENDICOTT,13760,BROOME
NY,FENTON FREE LIBRARY,1062 CHENANGO STREET,BINGHAMTON,13901,BROOME
NY,YOUR HOME PUBLIC LIBRARY,107 MAIN STREET,JOHNSON CITY,13790,BROOME
NY,LISLE FREE LIBRARY,8998 MAIN STREET,LISLE,13797,BROOME
NY,NINEVEH PUB LIB OF COLESVILLE TOWNSHIP,3029 NY STATE HWY 7,NINEVEH,13813,BROOME
NY,VESTAL PUBLIC LIBRARY,320 VESTAL PARKWAY EAST,VESTAL,13850,BROOME
NY,MARY WILCOX MEMORIAL LIBRARY,2630 MAIN STREET,WHITNEY POINT,13862,BROOME
NY,AFTON FREE LIBRARY,105 A MAIN STREET,AFTON,13730,CHENANGO
NY,BAINBRIDGE FREE LIBRARY,13 NORTH MAIN STREET,BAINBRIDGE,13733,CHENANGO
NY,MOORE MEMORIAL LIBRARY,59 GENESEE STREET,GREENE,13778,CHENANGO
NY,NEW BERLIN LIBRARY,15 SOUTH MAIN STREET,NEW BERLIN,13411,CHENANGO
NY,GUERNSEY MEMORIAL LIBRARY OF NORWICH,3 COURT STREET,NORWICH,13815,CHENANGO
NY,OXFORD MEMORIAL LIBRARY,8 FORT HILL PARK,OXFORD,13830,CHENANGO
NY,SHERBURNE PUBLIC LIBRARY,2 EAST STATE STREET,SHERBURNE,13460,CHENANGO
NY,SMYRNA PUBLIC LIBRARY,7 EAST MAIN STREET,SMYRNA,13464,CHENANGO
NY,SOUTH NEW BERLIN FREE LIBRARY,3320 STATE HIGHWAY 8,SOUTH NEW BERLIN,13843,CHENANGO
NY,ANDES PUBLIC LIBRARY,242 MAIN STREET,ANDES,13731,DELAWARE
NY,FAIRVIEW PUBLIC LIBRARY,43 WALNUT STREET,MARGARETVILLE,12455,DELAWARE
NY,BOVINA LIBRARY ASSOCIATION,33 MAPLE AVENUE,BOVINA CENTER,13740,DELAWARE
NY,CANNON FREE LIBRARY,40 ELM STREET,DELHI,13753,DELAWARE
NY,SKENE MEMORIAL LIBRARY,1017 MAIN STREET,FLEISCHMANNS,12430,DELAWARE
NY,FRANKLIN FREE LIBRARY,334 MAIN STREET,FRANKLIN,13775,DELAWARE
NY,LOUISE ADELIA READ MEMORIAL LIBRARY,104 READ STREET,HANCOCK,13783,DELAWARE
NY,ROXBURY LIBRARY ASSOCIATION,53742 STATE HIGHWAY 30,ROXBURY,12474,DELAWARE
NY,SIDNEY MEMORIAL PUBLIC LIBRARY,8 RIVER STREET,SIDNEY,13838,DELAWARE
NY,STAMFORD VILLAGE LIBRARY,117 MAIN STREET,STAMFORD,12167,DELAWARE
NY,WILLIAM B. OGDEN FREE LIBRARY,42 GARDINER PLACE,WALTON,13856,DELAWARE
NY,CHERRY VALLEY MEMORIAL LIBRARY,61 MAIN STREET,CHERRY VALLEY,13320,OTSEGO
NY,VILLAGE LIBRARY OF COOPERSTOWN,22 MAIN STREET,COOPERSTOWN,13326,OTSEGO
NY,EDMESTON FREE LIBRARY,6 WEST STREET,EDMESTON,13335,OTSEGO
NY,GILBERTSVILLE FREE LIBRARY,17 COMMERCIAL STREET,GILBERTSVILLE,13776,OTSEGO
NY,KINNEY MEMORIAL LIBRARY,3140 COUNTY ROUTE 11,HARTWICK,13348,OTSEGO
NY,MILFORD FREE LIBRARY,64 SOUTH MAIN STREET,MILFORD,13807,OTSEGO
NY,MORRIS LIBRARY,152 MAIN STREET,MORRIS,13808,OTSEGO
NY,HUNTINGTON MEMORIAL LIBRARY,62 CHESTNUT STREET,ONEONTA,13820,OTSEGO
NY,HARRIS MEMORIAL LIBRARY,334 MAIN STREET,OTEGO,13825,OTSEGO
NY,RICHFIELD SPRINGS PUBLIC LIBRARY,102 MAIN STREET,RICHFIELD SPRINGS,13439,OTSEGO
NY,UNADILLA PUBLIC LIBRARY,193 MAIN STREET,UNADILLA,13849,OTSEGO
NY,WORCESTER FREE LIBRARY,168 MAIN STREET SUITE 2,WORCESTER,12197,OTSEGO
NY,CHATHAM PUBLIC LIBRARY,11 WOODBRIDGE AVENUE,CHATHAM,12037,COLUMBIA
NY,GERMANTOWN LIBRARY,31 PALATINE PARK ROAD,GERMANTOWN,12526,COLUMBIA
NY,ROELIFF JANSEN COMMUNITY LIBRARY ASSOCIATION,9091 STATE ROUTE 22,HILLSDALE,12529,COLUMBIA
NY,HUDSON AREA ASSOCIATION LIBRARY,51 N. 5TH ST,HUDSON,12534,COLUMBIA
NY,KINDERHOOK MEMORIAL LIBRARY,18 HUDSON STREET,KINDERHOOK,12106,COLUMBIA
NY,LIVINGSTON FREE LIBRARY,90 OLD POST ROAD,LIVINGSTON,12541,COLUMBIA
NY,NEW LEBANON LIBRARY,550 STATE ROUTE 20,NEW LEBANON,12125,COLUMBIA
NY,NORTH CHATHAM FREE LIBRARY,4286 STATE ROUTE 203,NORTH CHATHAM,12132,COLUMBIA
NY,PHILMONT PUBLIC LIBRARY,101 MAIN STREET,PHILMONT,12565,COLUMBIA
NY,VALATIE FREE LIBRARY,1036 KINDERHOOK STREET,VALATIE,12184,COLUMBIA
NY,AMENIA FREE LIBRARY,3309 ROUTE 343,AMENIA,12501,DUTCHESS
NY,HOWLAND PUBLIC LIBRARY,313 MAIN STREET,BEACON,12508,DUTCHESS
NY,DOVER PLAINS LIBRARY,1797 ROUTE 22,WINGDALE,12594,DUTCHESS
NY,EAST FISHKILL PUBLIC LIBRARY DISTRICT,348 ROUTE 376,HOPEWELL JUNCTION,12533,DUTCHESS
NY,BLODGETT MEMORIAL LIBRARY DISTRICT OF FISHKILL,37 BROAD STREET,FISHKILL,12524,DUTCHESS
NY,HYDE PARK LIBRARY DISTRICT,2 MAIN STREET,HYDE PARK,12538,DUTCHESS
NY,MILLBROOK LIBRARY,3 FRIENDLY LANE,MILLBROOK,12545,DUTCHESS
NY,NORTH EAST- MILLERTON LIBRARY,75 MAIN STREET,MILLERTON,12546,DUTCHESS
NY,PAWLING FREE LIBRARY,11 BROAD STREET,PAWLING,12564,DUTCHESS
NY,PINE PLAINS FREE LIBRARY,7775 SOUTH MAIN STREET,PINE PLAINS,12567,DUTCHESS
NY,PLEASANT VALLEY FREE LIBRARY,1584 MAIN STREET,PLEASANT VALLEY,12569,DUTCHESS
NY,GREATER POUGHKEEPSIE LIBRARY DISTRICT,93 MARKET STREET,POUGHKEEPSIE,12601,DUTCHESS
NY,LAGRANGE ASSOCIATION LIBRARY,488 FREEDOM PLAINS ROAD,POUGHKEEPSIE,12603,DUTCHESS
NY,BEEKMAN LIBRARY,11 TOWN CENTER BLVD,HOPEWELL JUNCTION,12533,DUTCHESS
NY,RED HOOK PUBLIC LIBRARY,7444 SOUTH BROADWAY,RED HOOK,12571,DUTCHESS
NY,STARR INSTITUTE,68 WEST MARKET STREET,RHINEBECK,12572,DUTCHESS
NY,MORTON MEMORIAL LIBRARY AND COMMUNITY HOUSE,82 KELLY STREET,RHINECLIFF,12574,DUTCHESS
NY,STAATSBURG LIBRARY,72 OLD POST ROAD,STAATSBURG,12580,DUTCHESS
NY,STANFORD FREE LIBRARY,14 CREAMERY ROAD,STANFORDVILLE,12581,DUTCHESS
NY,TIVOLI FREE LIBRARY,86 BROADWAY,TIVOLI,12583,DUTCHESS
NY,GRINNELL PUBLIC LIBRARY DISTRICT,2642 EAST MAIN STREET,WAPPINGERS FALLS,12590,DUTCHESS
NY,D.R. EVARTS LIBRARY,80 SECOND STREET,ATHENS,12015,GREENE
NY,CAIRO PUBLIC LIBRARY,15 RAILROAD AVE,CAIRO,12413,GREENE
NY,CATSKILL PUBLIC LIBRARY,1 FRANKLIN STREET,CATSKILL,12414,GREENE
NY,HEERMANCE MEMORIAL LIBRARY,1 ELY STREET,COXSACKIE,12051,GREENE
NY,GREENVILLE PUBLIC LIBRARY,8 NORTH STREET,GREENVILLE,12083,GREENE
NY,MOUNTAIN TOP LIBRARY,6093 MAIN STREET,TANNERSVILLE,12485,GREENE
NY,HUNTER PUBLIC LIBRARY,7965 MAIN STREET,HUNTER,12442,GREENE
NY,WINDHAM PUBLIC LIBRARY,5379 CHURCH STREET,WINDHAM,12496,GREENE
NY,BREWSTER PUBLIC LIBRARY,79 MAIN STREET,BREWSTER,10509,PUTNAM
NY,REED MEMORIAL LIBRARY,1733 ROUTE 6,CARMEL,10512,PUTNAM
NY,JULIA L. BUTTERFIELD MEMORIAL LIBRARY,10 MORRIS AVENUE,COLD SPRING,10516,PUTNAM
NY,ALICE CURTIS DESMOND & HAMILTON FISH LIB,472 ROUTE 403,GARRISON,10524,PUTNAM
NY,KENT PUBLIC LIBRARY,17 SYBILS CROSSING,KENT LAKES,10512,PUTNAM
NY,PATTERSON LIBRARY,1167 ROUTE 311,PATTERSON,12563,PUTNAM
NY,PUTNAM VALLEY FREE LIBRARY,30 OSCAWANA LAKE ROAD,PUTNAM VALLEY,10579,PUTNAM
NY,HIGHLAND PUBLIC LIBRARY,30 CHURCH STREET,HIGHLAND,12528,ULSTER
NY,HURLEY LIBRARY DISTRICT,48 MAIN STREET,HURLEY,12443,ULSTER
NY,KINGSTON LIBRARY,55 FRANKLIN STREET,KINGSTON,12401,ULSTER
NY,TOWN OF ULSTER PUBLIC LIBRARY,860 ULSTER AVENUE,KINGSTON,12401,ULSTER
NY,MARLBORO FREE LIBRARY,1251 ROUTE 9W,MARLBORO,12542,ULSTER
NY,SARAH HULL HALLOCK FREE LIBRARY,56-58 MAIN STREET,MILTON,12547,ULSTER
NY,PLATTEKILL PUBLIC LIBRARY,2047 ROUTE 32,MODENA,12548,ULSTER
NY,ELTING MEMORIAL LIBRARY,93 MAIN STREET,NEW PALTZ,12561,ULSTER
NY,PHOENICIA LIBRARY,48 MAIN STREET,PHOENICIA,12464,ULSTER
NY,MORTON MEMORIAL LIBRARY,22 ELM STREET,PINE HILL,12465,ULSTER
NY,TOWN OF ESOPUS LIBRARY,128 CANAL STREET,PORT EWEN,12466,ULSTER
NY,ROSENDALE LIBRARY,264 MAIN STREET,ROSENDALE,12472,ULSTER
NY,SAUGERTIES PUBLIC LIBRARY,91 WASHINGTON AVENUE,SAUGERTIES,12477,ULSTER
NY,STONE RIDGE PUBLIC LIBRARY,3700 MAIN STREET,STONE RIDGE,12484,ULSTER
NY,WEST HURLEY PUBLIC LIBRARY,42 CLOVER STREET,WEST HURLEY,12491,ULSTER
NY,OLIVE FREE LIBRARY ASSOCIATION,4033 ROUTE 28A,WEST SHOKAN,12494,ULSTER
NY,WOODSTOCK PUBLIC LIBRARY DISTRICT,5 LIBRARY LANE,WOODSTOCK,12498,ULSTER
NY,DOLGEVILLE-MANHEIM PUBLIC LIBRARY,24 NORTH MAIN STREET,DOLGEVILLE,13329,HERKIMER
NY,FRANKFORT FREE LIBRARY,123 SOUTH FRANKFORT STREET,FRANKFORT,13340,HERKIMER
